INDEX:35839:<long>,Verse_ID:35839:<long>,OT_NT:35839:<string>,Book:35839:<string>,Book_Num:35839:<long>,Chapter_Num:35839:<string>,Verse_Num:35839:<long>,Verse_Code:35839:<string>,Verse:35839:<string>,Characters:35839:<long>,Typed:35839:<long>,Best_WPM:35839:<double>
41,42,OT,Genesis,1,2,11,Genesis_2:11,"The name of one is the Phison; it is that which runs through all the land of Hevilath,0,106,0
42,43,OT,Genesis,1,2,12,Genesis_2:12,and the gold of that land is the finest. In that place is found bdellium and the onyx stone.,92,0,0
43,44,OT,Genesis,1,2,13,Genesis_2:13,And the name of the second river is the Gehon; it is that which runs through all the land of Ethiopia.,102,0,0
44,45,OT,Genesis,1,2,14,Genesis_2:14,"Truly,0,0,128
45,46,OT,Genesis,1,2,15,Genesis_2:15,"Thus,0,0,0
46,47,OT,Genesis,1,2,16,Genesis_2:16,"And he instructed him,0,0,75
47,48,OT,Genesis,1,2,17,Genesis_2:17,"But from the tree of the knowledge of good and evil,0,0,136
48,49,OT,Genesis,1,2,18,Genesis_2:18,"The Lord God also said: ""It is not good for the man to be alone. Let us make a helper for him similar to himself.""",114,0,0
49,50,OT,Genesis,1,2,19,Genesis_2:19,"Therefore,0,0,0
50,51,OT,Genesis,1,2,20,Genesis_2:20,"And Adam called each of the living things by their names: all the flying creatures of the air,0,0,0
51,52,OT,Genesis,1,2,21,Genesis_2:21,"And so the Lord God sent a deep sleep upon Adam. And when he was fast asleep,0,0,141
52,53,OT,Genesis,1,2,22,Genesis_2:22,"And the Lord God built up the rib,0,0,97
53,54,OT,Genesis,1,2,23,Genesis_2:23,"And Adam said: ""Now this is bone from my bones,0,0,137
54,55,OT,Genesis,1,2,24,Genesis_2:24,"For this reason,0,0,131
55,56,OT,Genesis,1,2,25,Genesis_2:25,"Now they were both naked: Adam,0,0,83
56,57,OT,Genesis,1,3,1,Genesis_3:1,"However,0,0,0
57,58,OT,Genesis,1,3,2,Genesis_3:2,"The woman responded to him: ""From the fruit of the trees which are in Paradise,0,87,0
58,59,OT,Genesis,1,3,3,Genesis_3:3,"Yet truly,0,0,0
59,60,OT,Genesis,1,3,4,Genesis_3:4,"Then the serpent said to the woman: ""By no means will you die a death.",70,0,0
60,61,OT,Genesis,1,3,5,Genesis_3:5,"For God knows that,0,0,0
61,62,OT,Genesis,1,3,6,Genesis_3:6,"And so the woman saw that the tree was good to eat,0,0,0
62,63,OT,Genesis,1,3,7,Genesis_3:7,"And the eyes of them both were opened. And when they realized themselves to be naked,0,152,0
63,64,OT,Genesis,1,3,8,Genesis_3:8,"And when they had heard the voice of the Lord God taking a walk in Paradise in the afternoon breeze,0,202,0
64,65,OT,Genesis,1,3,9,Genesis_3:9,"And the Lord God called Adam and said to him: ""Where are you?""",62,0,0
65,66,OT,Genesis,1,3,10,Genesis_3:10,"And he said,0,0,0
66,67,OT,Genesis,1,3,11,Genesis_3:11,"He said to him,0,0,143
67,68,OT,Genesis,1,3,12,Genesis_3:12,"And Adam said,0,0,0
68,69,OT,Genesis,1,3,13,Genesis_3:13,"And the Lord God said to the woman,0,0,0
69,70,OT,Genesis,1,3,14,Genesis_3:14,"And the Lord God said to the serpent: ""Because you have done this,0,0,0
70,71,OT,Genesis,1,3,15,Genesis_3:15,"I will put enmities between you and the woman,0,0,154
71,72,OT,Genesis,1,3,16,Genesis_3:16,"To the woman,0,0,0
72,73,OT,Genesis,1,3,17,Genesis_3:17,"Yet truly,0,0,0
73,74,OT,Genesis,1,3,18,Genesis_3:18,"Thorns and thistles shall it produce for you,0,88,0
74,75,OT,Genesis,1,3,19,Genesis_3:19,"By the sweat of your face shall you eat bread,0,0,154
75,76,OT,Genesis,1,3,20,Genesis_3:20,"And Adam called the name of his wife,0,0,90
76,77,OT,Genesis,1,3,21,Genesis_3:21,"The Lord God also made for Adam and his wife garments from skins,0,86,0
77,78,OT,Genesis,1,3,22,Genesis_3:22,"And he said: ""Behold,0,0,0
78,79,OT,Genesis,1,3,23,Genesis_3:23,"And so the Lord God sent him away from the Paradise of enjoyment,0,117,0
79,80,OT,Genesis,1,3,24,Genesis_3:24,"And he cast out Adam. And in front of the Paradise of enjoyment,0,0,0
80,81,OT,Genesis,1,4,1,Genesis_4:1,"Truly,0,0,0
81,82,OT,Genesis,1,4,2,Genesis_4:2,"And again she gave birth to his brother Abel. But Abel was a pastor of sheep,0,100,0
82,83,OT,Genesis,1,4,3,Genesis_4:3,"Then it happened,0,0,0
83,84,OT,Genesis,1,4,4,Genesis_4:4,"Abel likewise offered from the firstborn of his flock,0,128,0
84,85,OT,Genesis,1,4,5,Genesis_4:5,"Yet in truth,0,0,120
85,86,OT,Genesis,1,4,6,Genesis_4:6,"And the Lord said to him: ""Why are you angry? And why is your face fallen?",74,0,0
86,87,OT,Genesis,1,4,7,Genesis_4:7,"If you behave well,0,0,0
87,88,OT,Genesis,1,4,8,Genesis_4:8,"And Cain said to his brother Abel,0,0,0
88,89,OT,Genesis,1,4,9,Genesis_4:9,"And the Lord said to Cain,0,117,0
89,90,OT,Genesis,1,4,10,Genesis_4:10,"And he said to him: ""What have you done? The voice of your brother's blood cries out to me from the land.",105,0,0
90,91,OT,Genesis,1,4,11,Genesis_4:11,"Now,0,0,0
91,92,OT,Genesis,1,4,12,Genesis_4:12,"When you work it,0,103,0
92,93,OT,Genesis,1,4,13,Genesis_4:13,"And Cain said to the Lord: ""My iniquity is too great to deserve kindness.",73,0,0
93,94,OT,Genesis,1,4,14,Genesis_4:14,"Behold,0,0,0
94,95,OT,Genesis,1,4,15,Genesis_4:15,"And the Lord said to him: ""By no means will it be so; rather,0,0,0
95,96,OT,Genesis,1,4,16,Genesis_4:16,"And so Cain,0,0,0
96,97,OT,Genesis,1,4,17,Genesis_4:17,"Then Cain knew his wife,0,0,0
97,98,OT,Genesis,1,4,18,Genesis_4:18,"Thereafter,0,0,0
98,99,OT,Genesis,1,4,19,Genesis_4:19,"Lamech took two wives: the name of one was Adah,0,86,0
99,100,OT,Genesis,1,4,20,Genesis_4:20,"And Adah conceived Jabel,0,90,0
100,101,OT,Genesis,1,4,21,Genesis_4:21,And the name of his brother was Jubal; he was the father of those who sing to the harp and the organ.,101,0,0
101,102,OT,Genesis,1,4,22,Genesis_4:22,"Zillah also conceived Tubalcain,0,0,140
102,103,OT,Genesis,1,4,23,Genesis_4:23,"And Lamech said to his wives Adah and Zillah: ""Listen to my voice,0,0,0
103,104,OT,Genesis,1,4,24,Genesis_4:24,"Sevenfold vengeance will be given for Cain,0,0,81
104,105,OT,Genesis,1,4,25,Genesis_4:25,"Adam also knew his wife again,0,0,0
105,106,OT,Genesis,1,4,26,Genesis_4:26,"But to Seth also was born a son,0,100,0
106,107,OT,Genesis,1,5,1,Genesis_5:1,"This is the book of the lineage of Adam. In the day that God created man,0,109,0
107,108,OT,Genesis,1,5,2,Genesis_5:2,"He created them,0,0,120
108,109,OT,Genesis,1,5,3,Genesis_5:3,"Then Adam lived for one hundred and thirty years. And then he conceived a son in his own image and likeness,0,137,0
109,110,OT,Genesis,1,5,4,Genesis_5:4,"And after he conceived Seth,0,120,0
110,111,OT,Genesis,1,5,5,Genesis_5:5,"And all the time that passed while Adam lived was nine hundred and thirty years,0,98,0
111,112,OT,Genesis,1,5,6,Genesis_5:6,"Seth likewise lived for one hundred and five years,0,79,0
112,113,OT,Genesis,1,5,7,Genesis_5:7,"And after he conceived Enos,0,0,111
113,114,OT,Genesis,1,5,8,Genesis_5:8,"And all the days of Seth that passed were nine hundred and twelve years,0,90,0
114,115,OT,Genesis,1,5,9,Genesis_5:9,"In truth,0,0,64
115,116,OT,Genesis,1,5,10,Genesis_5:10,"After his birth,0,0,95
116,117,OT,Genesis,1,5,11,Genesis_5:11,"And all the days of Enos that passed were nine hundred and five years,0,88,0
117,118,OT,Genesis,1,5,12,Genesis_5:12,"Likewise,0,0,70
118,119,OT,Genesis,1,5,13,Genesis_5:13,"And after he conceived Mahalalel,0,0,118
119,120,OT,Genesis,1,5,14,Genesis_5:14,"And all the days of Cainan that passed were nine hundred and ten years,0,89,0
120,121,OT,Genesis,1,5,15,Genesis_5:15,"And Mahalalel lived sixty-five years,0,66,0
121,122,OT,Genesis,1,5,16,Genesis_5:16,"And after he conceived Jared,0,0,118
122,123,OT,Genesis,1,5,17,Genesis_5:17,"And all the days of Mahalalel that passed were eight hundred and ninety-five years,0,101,0
123,124,OT,Genesis,1,5,18,Genesis_5:18,"And Jared lived for one hundred and sixty-two years,0,81,0
124,125,OT,Genesis,1,5,19,Genesis_5:19,"And after he conceived Enoch,0,0,103
125,126,OT,Genesis,1,5,20,Genesis_5:20,"And all the days of Jared that passed were nine hundred and sixty-two years,0,94,0
126,127,OT,Genesis,1,5,21,Genesis_5:21,"Now Enoch lived for sixty-five years,0,71,0
127,128,OT,Genesis,1,5,22,Genesis_5:22,"And Enoch walked with God. And after he conceived Methuselah,0,0,132
128,129,OT,Genesis,1,5,23,Genesis_5:23,And all the days of Enoch that passed were three hundred and sixty-five years.,78,0,0
129,130,OT,Genesis,1,5,24,Genesis_5:24,"And he walked with God,0,0,75
130,131,OT,Genesis,1,5,25,Genesis_5:25,"Likewise,0,0,96
131,132,OT,Genesis,1,5,26,Genesis_5:26,"And after he conceived Lamech,0,0,124
132,133,OT,Genesis,1,5,27,Genesis_5:27,"And all the days of Methuselah that passed were nine hundred and sixty-nine years,0,100,0
133,134,OT,Genesis,1,5,28,Genesis_5:28,"Then Lamech lived for one hundred and eighty-two years,0,79,0
134,135,OT,Genesis,1,5,29,Genesis_5:29,"And he called his name Noah,0,0,0
135,136,OT,Genesis,1,5,30,Genesis_5:30,"And after he conceived Noah,0,0,118
136,137,OT,Genesis,1,5,31,Genesis_5:31,"And all the days of Lamech that passed were seven hundred and seventy-seven years,0,0,0
137,138,OT,Genesis,1,6,1,Genesis_6:1,"And when men began to be multiplied upon the earth,0,0,84
138,139,OT,Genesis,1,6,2,Genesis_6:2,"the sons of God,0,0,116
139,140,OT,Genesis,1,6,3,Genesis_6:3,"And God said: ""My spirit shall not remain in man forever,0,134,0
140,141,OT,Genesis,1,6,4,Genesis_6:4,"Now giants were upon the earth in those days. For after the sons of God went in to the daughters of men,0,0,0
141,142,OT,Genesis,1,6,5,Genesis_6:5,"Then God,0,0,141
142,143,OT,Genesis,1,6,6,Genesis_6:6,"repented that he had made man on the earth. And being touched inwardly with a sorrow of heart,0,94,0
143,144,OT,Genesis,1,6,7,Genesis_6:7,"he said,0,0,0
144,145,OT,Genesis,1,6,8,Genesis_6:8,"Yet truly,0,44,0
145,146,OT,Genesis,1,6,9,Genesis_6:9,"These are the generations of Noah. Noah was a just man,0,0,129
146,147,OT,Genesis,1,6,10,Genesis_6:10,"And he conceived three sons: Shem,0,0,52
147,148,OT,Genesis,1,6,11,Genesis_6:11,"Yet the earth was corrupted before the eyes of God,0,84,0
148,149,OT,Genesis,1,6,12,Genesis_6:12,"And when God had seen that the earth had been corrupted,0,0,113
149,150,OT,Genesis,1,6,13,Genesis_6:13,"he said to Noah: ""The end of all flesh has arrived in my sight. The earth has been filled with iniquity by their presence,0,0,169
150,151,OT,Genesis,1,6,14,Genesis_6:14,"Make yourself an ark from smoothed wood. You shall make little dwelling places in the ark,0,146,0
151,152,OT,Genesis,1,6,15,Genesis_6:15,"And thus shall you make it: The length of the ark shall be three hundred cubits,0,0,134
152,153,OT,Genesis,1,6,16,Genesis_6:16,"You shall make a window in the ark,0,0,0
153,154,OT,Genesis,1,6,17,Genesis_6:17,"Behold,0,0,200
154,155,OT,Genesis,1,6,18,Genesis_6:18,"And I shall establish my covenant with you,0,0,0
155,156,OT,Genesis,1,6,19,Genesis_6:19,"And from every living thing of all that is flesh,0,0,0
156,157,OT,Genesis,1,6,20,Genesis_6:20,"from birds,0,0,0
157,158,OT,Genesis,1,6,21,Genesis_6:21,"Therefore,0,0,0
158,159,OT,Genesis,1,6,22,Genesis_6:22,And so Noah did all things just as God had instructed him.,58,0,0
159,160,OT,Genesis,1,7,1,Genesis_7:1,"And the Lord said to him: ""Enter the ark,0,0,133
160,161,OT,Genesis,1,7,2,Genesis_7:2,"From all the clean animals,0,0,0
161,162,OT,Genesis,1,7,3,Genesis_7:3,"But also from the birds of the air,0,0,0
162,163,OT,Genesis,1,7,4,Genesis_7:4,"For from that point,0,0,0
163,164,OT,Genesis,1,7,5,Genesis_7:5,"Therefore,0,66,0
164,165,OT,Genesis,1,7,6,Genesis_7:6,And he was six hundred years old when the waters of the great flood inundated the earth.,88,0,0
165,166,OT,Genesis,1,7,7,Genesis_7:7,"And Noah entered into the ark,0,0,0
166,167,OT,Genesis,1,7,8,Genesis_7:8,"And from the animals both clean and unclean,0,0,0
167,168,OT,Genesis,1,7,9,Genesis_7:9,"two by two they were brought into the ark to Noah,0,0,105
168,169,OT,Genesis,1,7,10,Genesis_7:10,"And when seven days had passed,0,82,0
169,170,OT,Genesis,1,7,11,Genesis_7:11,"In the six hundredth year of the life of Noah,0,0,0
170,171,OT,Genesis,1,7,12,Genesis_7:12,And rain came upon the earth for forty days and forty nights.,61,0,0
171,172,OT,Genesis,1,7,13,Genesis_7:13,"On the very same day,0,0,0
172,173,OT,Genesis,1,7,14,Genesis_7:14,"They and every animal according to its kind,0,0,0
173,174,OT,Genesis,1,7,15,Genesis_7:15,"entered the ark to Noah,0,0,100
174,175,OT,Genesis,1,7,16,Genesis_7:16,"And those that entered went in male and female,0,0,153
175,176,OT,Genesis,1,7,17,Genesis_7:17,"And the great flood occurred for forty days upon the earth. And the waters were increased,0,135,0
176,177,OT,Genesis,1,7,18,Genesis_7:18,"For they overflowed greatly,0,132,0
177,178,OT,Genesis,1,7,19,Genesis_7:19,And the waters prevailed beyond measure across the earth. And all the lofty mountains under the whole heaven were covered.,122,0,0
178,179,OT,Genesis,1,7,20,Genesis_7:20,The water was fifteen cubits higher than the mountains which it covered.,72,0,0
179,180,OT,Genesis,1,7,21,Genesis_7:21,"And all flesh was consumed which moved upon the earth: flying things,0,0,0
180,181,OT,Genesis,1,7,22,Genesis_7:22,"and everything in which there is the breath of life on earth,0,67,0
181,182,OT,Genesis,1,7,23,Genesis_7:23,"And he wiped away all substance that was upon the earth,0,0,0
182,183,OT,Genesis,1,7,24,Genesis_7:24,And the waters possessed the earth for one hundred and fifty days.,66,0,0
183,184,OT,Genesis,1,8,1,Genesis_8:1,"Then God remembered Noah,0,0,0
184,185,OT,Genesis,1,8,2,Genesis_8:2,And the fountains of the abyss and the floodgates of heaven were closed. And the rain from heaven was restrained.,113,0,0
185,186,OT,Genesis,1,8,3,Genesis_8:3,And the waters were restored to their coming and going from the earth. And they began to diminish after one hundred and fifty days.,131,0,0
186,187,OT,Genesis,1,8,4,Genesis_8:4,"And the ark rested in the seventh month,0,0,111
187,188,OT,Genesis,1,8,5,Genesis_8:5,"Yet in truth,0,0,0
188,189,OT,Genesis,1,8,6,Genesis_8:6,"And when forty days had passed,0,0,0
189,190,OT,Genesis,1,8,7,Genesis_8:7,"which went forth and did not return,0,85,0
190,191,OT,Genesis,1,8,8,Genesis_8:8,"Likewise,0,0,114
191,192,OT,Genesis,1,8,9,Genesis_8:9,"But when she did not find a place where her foot might rest,0,0,208
192,193,OT,Genesis,1,8,10,Genesis_8:10,"And then,0,0,90
193,194,OT,Genesis,1,8,11,Genesis_8:11,"And she came to him in the evening,0,156,0
194,195,OT,Genesis,1,8,12,Genesis_8:12,"And nevertheless,0,0,108
195,196,OT,Genesis,1,8,13,Genesis_8:13,"Therefore,0,0,0
196,197,OT,Genesis,1,8,14,Genesis_8:14,"In the second month,0,0,84
197,198,OT,Genesis,1,8,15,Genesis_8:15,"Then God spoke to Noah,0,31,0
198,199,OT,Genesis,1,8,16,Genesis_8:16,"""Go out of the ark,0,0,85
199,200,OT,Genesis,1,8,17,Genesis_8:17,"Bring out with you all the living things that are with you,0,0,229
200,201,OT,Genesis,1,8,18,Genesis_8:18,"And so Noah and his sons went out,0,83,0
201,202,OT,Genesis,1,8,19,Genesis_8:19,"Then also all living things,0,0,0
202,203,OT,Genesis,1,8,20,Genesis_8:20,"Then Noah built an altar to the Lord. And,0,0,138
203,204,OT,Genesis,1,8,21,Genesis_8:21,"And the Lord smelled the sweet odor and said: ""I will no longer curse the earth because of man. For the feelings and thoughts of the heart of man are prone to evil from his youth. Therefore,0,248,0
204,205,OT,Genesis,1,8,22,Genesis_8:22,"All the days of the earth,0,0,0
205,206,OT,Genesis,1,9,1,Genesis_9:1,"And God blessed Noah and his sons. And he said to them: ""Increase,0,0,100
206,207,OT,Genesis,1,9,2,Genesis_9:2,"And let the fear and trembling of you be upon all the animals of the earth,0,0,214
207,208,OT,Genesis,1,9,3,Genesis_9:3,"And everything that moves and lives will be food for you. Just as with the edible plants,0,0,123
208,209,OT,Genesis,1,9,4,Genesis_9:4,except that flesh with blood you shall not eat.,47,0,0
209,210,OT,Genesis,1,9,5,Genesis_9:5,"For I will examine the blood of your lives at the hand of every beast. So also,0,0,0
210,211,OT,Genesis,1,9,6,Genesis_9:6,"Whoever will shed human blood,0,105,0
211,212,OT,Genesis,1,9,7,Genesis_9:7,"But as for you: increase and multiply,0,83,0
212,213,OT,Genesis,1,9,8,Genesis_9:8,"To Noah and to his sons with him,0,53,0
213,214,OT,Genesis,1,9,9,Genesis_9:9,"""Behold,0,0,0
214,215,OT,Genesis,1,9,10,Genesis_9:10,"and with every living soul that is with you: as much with the birds as with the cattle and all the animals of the earth that have gone forth from the ark,0,197,0
215,216,OT,Genesis,1,9,11,Genesis_9:11,"I will establish my covenant with you,0,0,0
216,217,OT,Genesis,1,9,12,Genesis_9:12,"And God said: ""This is the sign of the pact that I grant between me and you,0,0,146
217,218,OT,Genesis,1,9,13,Genesis_9:13,"I will place my arc in the clouds,0,100,0
218,219,OT,Genesis,1,9,14,Genesis_9:14,"And when I obscure the sky with clouds,0,73,0
219,220,OT,Genesis,1,9,15,Genesis_9:15,"And I will remember my covenant with you,0,175,0
220,221,OT,Genesis,1,9,16,Genesis_9:16,"And the arc will be in the clouds,0,0,187
221,222,OT,Genesis,1,9,17,Genesis_9:17,"And God said to Noah,0,138,0
222,223,OT,Genesis,1,9,18,Genesis_9:18,"And so the sons of Noah,0,0,0
223,224,OT,Genesis,1,9,19,Genesis_9:19,These three are the sons of Noah. And from these all the family of mankind was spread over the whole earth.,107,0,0
224,225,OT,Genesis,1,9,20,Genesis_9:20,"And Noah,0,0,0
225,226,OT,Genesis,1,9,21,Genesis_9:21,"And by drinking its wine,0,73,0
226,227,OT,Genesis,1,9,22,Genesis_9:22,"Because of this,0,0,0
227,228,OT,Genesis,1,9,23,Genesis_9:23,"And truly,0,0,0
228,229,OT,Genesis,1,9,24,Genesis_9:24,"Then Noah,0,0,0
229,230,OT,Genesis,1,9,25,Genesis_9:25,"he said,0,0,78
230,231,OT,Genesis,1,9,26,Genesis_9:26,"And he said: ""Blessed be the Lord God of Shem,0,73,0
231,232,OT,Genesis,1,9,27,Genesis_9:27,"May God enlarge Japheth,0,0,94
232,233,OT,Genesis,1,9,28,Genesis_9:28,"And after the great flood,0,72,0
233,234,OT,Genesis,1,9,29,Genesis_9:29,"And all his days were completed in nine hundred and fifty years,0,82,0
234,235,OT,Genesis,1,10,1,Genesis_10:1,"These are the generations of the sons of Noah: Shem,0,0,0
235,236,OT,Genesis,1,10,2,Genesis_10:2,"The sons of Japheth were Gomer,0,0,0
236,237,OT,Genesis,1,10,3,Genesis_10:3,"And then the sons of Gomer were Ashkenaz,0,0,68
237,238,OT,Genesis,1,10,4,Genesis_10:4,"And the sons of Javan were Elishah,0,0,0
238,239,OT,Genesis,1,10,5,Genesis_10:5,"The islands of the Gentiles were divided by these into their regions,0,0,140
239,240,OT,Genesis,1,10,6,Genesis_10:6,"And the Sons of Ham were Cush,0,0,0
240,241,OT,Genesis,1,10,7,Genesis_10:7,"And the sons of Cush were Seba,0,0,0
241,242,OT,Genesis,1,10,8,Genesis_10:8,And then Cush conceived Nimrod; he began to be powerful on the earth.,69,0,0
242,243,OT,Genesis,1,10,9,Genesis_10:9,"And he was an able hunter before the Lord. From this,0,0,127
243,244,OT,Genesis,1,10,10,Genesis_10:10,"And so,0,0,0
244,245,OT,Genesis,1,10,11,Genesis_10:11,"From that land,0,0,0
245,246,OT,Genesis,1,10,12,Genesis_10:12,"and also Resen,0,64,0
246,247,OT,Genesis,1,10,13,Genesis_10:13,"And truly,0,0,0
247,248,OT,Genesis,1,10,14,Genesis_10:14,"and Pathrusim,0,0,84
248,249,OT,Genesis,1,10,15,Genesis_10:15,"Then Canaan conceived Sidon his firstborn,0,0,55
249,250,OT,Genesis,1,10,16,Genesis_10:16,"and the Jebusite,0,0,0
250,251,OT,Genesis,1,10,17,Genesis_10:17,"the Hivite,0,0,39
251,252,OT,Genesis,1,10,18,Genesis_10:18,"and the Arvadian,0,0,0
252,253,OT,Genesis,1,10,19,Genesis_10:19,"And the borders of Canaan went,0,0,0
253,254,OT,Genesis,1,10,20,Genesis_10:20,"These are the sons of Ham in their kindred,0,0,0
254,255,OT,Genesis,1,10,21,Genesis_10:21,"Likewise,0,0,0
255,256,OT,Genesis,1,10,22,Genesis_10:22,"The sons of Shem were Elam,0,0,0
256,257,OT,Genesis,1,10,23,Genesis_10:23,"The sons of Aram were Uz,0,0,0
257,258,OT,Genesis,1,10,24,Genesis_10:24,"But truly,0,0,62
258,259,OT,Genesis,1,10,25,Genesis_10:25,"And to Eber were born two sons: the name of the one was Peleg,0,0,139
259,260,OT,Genesis,1,10,26,Genesis_10:26,"This Joktan conceived Almodad,0,0,0
260,261,OT,Genesis,1,10,27,Genesis_10:27,"and Hadoram,0,0,33
261,262,OT,Genesis,1,10,28,Genesis_10:28,"and Obal and Abimael,0,27,0
262,263,OT,Genesis,1,10,29,Genesis_10:29,"and Ophir,0,68,0
263,264,OT,Genesis,1,10,30,Genesis_10:30,"And their habitation extended from Messa,0,0,0
264,265,OT,Genesis,1,10,31,Genesis_10:31,"These are the sons of Shem according to their kindred,0,0,105
265,266,OT,Genesis,1,10,32,Genesis_10:32,"These are the families of Noah,0,0,154
266,267,OT,Genesis,1,11,1,Genesis_11:1,Now the earth was of one language and of the same speech.,57,0,0
267,268,OT,Genesis,1,11,2,Genesis_11:2,"And when they were advancing from the east,0,0,107
268,269,OT,Genesis,1,11,3,Genesis_11:3,"And each one said to his neighbor,0,0,0
269,270,OT,Genesis,1,11,4,Genesis_11:4,"And they said: ""Come,0,0,168
270,271,OT,Genesis,1,11,5,Genesis_11:5,"Then the Lord descended to see the city and the tower,0,92,0
271,272,OT,Genesis,1,11,6,Genesis_11:6,"And he said: ""Behold,0,0,0
272,273,OT,Genesis,1,11,7,Genesis_11:7,"Therefore,0,0,0
273,274,OT,Genesis,1,11,8,Genesis_11:8,"And so the Lord divided them from that place into all the lands,0,99,0
274,275,OT,Genesis,1,11,9,Genesis_11:9,"And for this reason,0,0,0
275,276,OT,Genesis,1,11,10,Genesis_11:10,"These are the generations of Shem. Shem was one hundred years old when he conceived Arphaxad,0,126,0
276,277,OT,Genesis,1,11,11,Genesis_11:11,"And after he conceived Arphaxad,0,0,104
277,278,OT,Genesis,1,11,12,Genesis_11:12,"Next,0,0,73
278,279,OT,Genesis,1,11,13,Genesis_11:13,"And after he conceived Shelah,0,0,117
